OrbitData
+8.211024691841228e+08            ;+6.508981382571967e+03            ;+2.222981119454735e+03            ;-1.659111982359078e+01            ;+0.000000000000000e+00            ;
+8.211024748094484e+08            ;+6.510807806771044e+03            ;+2.217536948119704e+03            ;+2.584545566132417e+01            ;+1.000000000000000e+00            ;
+8.211024804347739e+08            ;+6.512381498970651e+03            ;+2.212006698046470e+03            ;+6.828102286981459e+01            ;+2.000000000000000e+00            ;
+8.211024860600995e+08            ;+6.513702398234437e+03            ;+2.206390583886352e+03            ;+1.107139304846547e+02            ;+3.000000000000000e+00            ;
+8.211024916854249e+08            ;+6.514770453479976e+03            ;+2.200688823892356e+03            ;+1.531425255112758e+02            ;+4.000000000000000e+00            ;
+8.211024973107505e+08            ;+6.515585623619981e+03            ;+2.194901639204455e+03            ;+1.955651586140889e+02            ;+5.000000000000000e+00            ;
+8.211025029360760e+08            ;+6.516147877393200e+03            ;+2.189029254701933e+03            ;+2.379801777517108e+02            ;+6.000000000000000e+00            ;
+8.211025085614016e+08            ;+6.516457193469611e+03            ;+2.183071898527242e+03            ;+2.803859317586682e+02            ;+7.000000000000000e+00            ;
+8.211025141867272e+08            ;+6.516513560434029e+03            ;+2.177029802118668e+03            ;+3.227807700781427e+02            ;+8.000000000000000e+00            ;
+8.211025198120527e+08            ;+6.516316976781857e+03            ;+2.170903200259372e+03            ;+3.651630424091636e+02            ;+9.000000000000000e+00            ;
+8.211025254373782e+08            ;+6.515867450940680e+03            ;+2.164692331252160e+03            ;+4.075310975360924e+02            ;+1.000000000000000e+01            ;
+8.211025310627037e+08            ;+6.515165001209314e+03            ;+2.158397436113319e+03            ;+4.498832888221134e+02            ;+1.100000000000000e+01            ;
+8.211025366880293e+08            ;+6.514209655827503e+03            ;+2.152018759685410e+03            ;+4.922179665926452e+02            ;+1.200000000000000e+01            ;
+8.211025423133548e+08            ;+6.513001452917030e+03            ;+2.145556549809047e+03            ;+5.345334837880500e+02            ;+1.300000000000000e+01            ;
+8.211025479386804e+08            ;+6.511540440532604e+03            ;+2.139011057790851e+03            ;+5.768281928123404e+02            ;+1.400000000000000e+01            ;
+8.211025535640060e+08            ;+6.509826676641908e+03            ;+2.132382538179882e+03            ;+6.191004470496750e+02            ;+1.500000000000000e+01            ;
+8.211025591893314e+08            ;+6.507860229111260e+03            ;+2.125671248725439e+03            ;+6.613486011256082e+02            ;+1.600000000000000e+01            ;
+8.211025648146570e+08            ;+6.505641175619515e+03            ;+2.118877450171719e+03            ;+7.035710121382311e+02            ;+1.700000000000000e+01            ;
+8.211025704399825e+08            ;+6.503169603872726e+03            ;+2.112001406921112e+03            ;+7.457660355314817e+02            ;+1.800000000000000e+01            ;
+8.211025760653081e+08            ;+6.500445611367726e+03            ;+2.105043386275400e+03            ;+7.879320298385724e+02            ;+1.900000000000000e+01            ;
+8.211025816906337e+08            ;+6.497469305545389e+03            ;+2.098003658918296e+03            ;+8.300673536730862e+02            ;+2.000000000000000e+01            ;
+8.211025873159592e+08            ;+6.494240803738305e+03            ;+2.090882498733364e+03            ;+8.721703668780091e+02            ;+2.100000000000000e+01            ;
+8.211025929412847e+08            ;+6.490760233156415e+03            ;+2.083680182771161e+03            ;+9.142394307215374e+02            ;+2.200000000000000e+01            ;
+8.211025985666102e+08            ;+6.487027730727079e+03            ;+2.076396990963166e+03            ;+9.562729095166883e+02            ;+2.300000000000000e+01            ;
+8.211026041919358e+08            ;+6.483043443470249e+03            ;+2.069033206863678e+03            ;+9.982691663278865e+02            ;+2.400000000000000e+01            ;
+8.211026098172613e+08            ;+6.478807528105543e+03            ;+2.061589116861649e+03            ;+1.040226567546318e+03            ;+2.500000000000000e+01            ;
+8.211026154425869e+08            ;+6.474320151324294e+03            ;+2.054065010707468e+03            ;+1.082143479855019e+03            ;+2.600000000000000e+01            ;
+8.211026210679125e+08            ;+6.469581489583206e+03            ;+2.046461181135035e+03            ;+1.124018272380093e+03            ;+2.700000000000000e+01            ;
+8.211026266932380e+08            ;+6.464591729181183e+03            ;+2.038777924006371e+03            ;+1.165849315862999e+03            ;+2.800000000000000e+01            ;
+8.211026323185635e+08            ;+6.459351066355875e+03            ;+2.031015538451885e+03            ;+1.207634981910214e+03            ;+2.900000000000000e+01            ;
+8.211026379438890e+08            ;+6.453859706874880e+03            ;+2.023174326268501e+03            ;+1.249373646227680e+03            ;+3.000000000000000e+01            ;
+8.211026435692146e+08            ;+6.448117866586510e+03            ;+2.015254592734477e+03            ;+1.291063684236424e+03            ;+3.100000000000000e+01            ;
+8.211026491945401e+08            ;+6.442125771083213e+03            ;+2.007256646106020e+03            ;+1.332703473790562e+03            ;+3.200000000000000e+01            ;
+8.211026548198657e+08            ;+6.435883655726962e+03            ;+1.999180797661214e+03            ;+1.374291394930907e+03            ;+3.300000000000000e+01            ;
+8.211026604451913e+08            ;+6.429391765660660e+03            ;+1.991027361720020e+03            ;+1.415825829772704e+03            ;+3.400000000000000e+01            ;
+8.211026660705167e+08            ;+6.422650355957318e+03            ;+1.982796655824044e+03            ;+1.457305161604622e+03            ;+3.500000000000000e+01            ;
+8.211026716958423e+08            ;+6.415659691001765e+03            ;+1.974488999985573e+03            ;+1.498727778665978e+03            ;+3.600000000000000e+01            ;
+8.211026773211678e+08            ;+6.408420045371365e+03            ;+1.966104717765006e+03            ;+1.540092068713108e+03            ;+3.700000000000000e+01            ;
+8.211026829464934e+08            ;+6.400931703221972e+03            ;+1.957644135517671e+03            ;+1.581396422822221e+03            ;+3.800000000000000e+01            ;
+8.211026885718189e+08            ;+6.393194958416180e+03            ;+1.949107582555802e+03            ;+1.622639234562896e+03            ;+3.900000000000000e+01            ;
+8.211026941971445e+08            ;+6.385210114587545e+03            ;+1.940495391223775e+03            ;+1.663818899625518e+03            ;+4.000000000000000e+01            ;
+8.211026998224699e+08            ;+6.376977485251560e+03            ;+1.931807897002806e+03            ;+1.704933815354153e+03            ;+4.100000000000000e+01            ;
+8.211027054477955e+08            ;+6.368497392976589e+03            ;+1.923045437643935e+03            ;+1.745982384832401e+03            ;+4.200000000000000e+01            ;
+8.211027110731211e+08            ;+6.359770170667283e+03            ;+1.914208354525077e+03            ;+1.786963010455112e+03            ;+4.300000000000000e+01            ;
+8.211027166984466e+08            ;+6.350796160566556e+03            ;+1.905296991596291e+03            ;+1.827874098924011e+03            ;+4.400000000000000e+01            ;
+8.211027223237722e+08            ;+6.341575714712153e+03            ;+1.896311695857940e+03            ;+1.868714058993185e+03            ;+4.500000000000000e+01            ;
+8.211027279490978e+08            ;+6.332109194618273e+03            ;+1.887252817039187e+03            ;+1.909481302958386e+03            ;+4.600000000000000e+01            ;
+8.211027335744233e+08            ;+6.322396971558670e+03            ;+1.878120707881250e+03            ;+1.950174245351760e+03            ;+4.700000000000000e+01            ;
+8.211027391997488e+08            ;+6.312439426470935e+03            ;+1.868915724031567e+03            ;+1.990791303454062e+03            ;+4.800000000000000e+01            ;
+8.211027448250743e+08            ;+6.302236949347845e+03            ;+1.859638223496473e+03            ;+2.031330899670429e+03            ;+4.900000000000000e+01            ;
+8.211027504503999e+08            ;+6.291789940381183e+03            ;+1.850288567691305e+03            ;+2.071791456915919e+03            ;+5.000000000000000e+01            ;
+8.211027560757254e+08            ;+6.281098808979265e+03            ;+1.840867120536360e+03            ;+2.112171402594157e+03            ;+5.100000000000000e+01            ;
+8.211027617010510e+08            ;+6.270163974242986e+03            ;+1.831374248892523e+03            ;+2.152469166686874e+03            ;+5.200000000000000e+01            ;
+8.211027673263766e+08            ;+6.258985864603634e+03            ;+1.821810322239863e+03            ;+2.192683183137879e+03            ;+5.300000000000000e+01            ;
+8.211027729517020e+08            ;+6.247564918443085e+03            ;+1.812175713212708e+03            ;+2.232811887591101e+03            ;+5.400000000000000e+01            ;
+8.211027785770276e+08            ;+6.235901582658144e+03            ;+1.802470796382403e+03            ;+2.272853722478198e+03            ;+5.500000000000000e+01            ;
+8.211027842023531e+08            ;+6.223996314560775e+03            ;+1.792695949866021e+03            ;+2.312807130302357e+03            ;+5.600000000000000e+01            ;
+8.211027898276787e+08            ;+6.211849580418690e+03            ;+1.782851554093818e+03            ;+2.352670558776227e+03            ;+5.700000000000000e+01            ;
+8.211027954530042e+08            ;+6.199461856161970e+03            ;+1.772937992402236e+03            ;+2.392442458361156e+03            ;+5.800000000000000e+01            ;
+8.211028010783298e+08            ;+6.186833626866121e+03            ;+1.762955650610354e+03            ;+2.432121283996105e+03            ;+5.900000000000000e+01            ;
+8.211028067036552e+08            ;+6.173965387513297e+03            ;+1.752904917628803e+03            ;+2.471705492655874e+03            ;+6.000000000000000e+01            ;
+8.211028123289808e+08            ;+6.160857641359389e+03            ;+1.742786184176918e+03            ;+2.511193548426753e+03            ;+6.100000000000000e+01            ;
